person,sites
http://www.wikidata.org/entity/Q1430,110
http://www.wikidata.org/entity/Q1425,110
http://www.wikidata.org/entity/Q1402,110
http://www.wikidata.org/entity/Q23873,110
http://www.wikidata.org/entity/Q23880,110
http://www.wikidata.org/entity/Q25089,110
http://www.wikidata.org/entity/Q2518,110
http://www.wikidata.org/entity/Q40224,110
http://www.wikidata.org/entity/Q38222,110
http://www.wikidata.org/entity/Q43736,110
http://www.wikidata.org/entity/Q44371,110
http://www.wikidata.org/entity/Q334923,110
http://www.wikidata.org/entity/Q36517,110
http://www.wikidata.org/entity/Q9161,110
http://www.wikidata.org/entity/Q5928,110
http://www.wikidata.org/entity/Q7259,110
http://www.wikidata.org/entity/Q539,110
http://www.wikidata.org/entity/Q11998,109
http://www.wikidata.org/entity/Q17892,109
http://www.wikidata.org/entity/Q1401,109
http://www.wikidata.org/entity/Q2038,109
http://www.wikidata.org/entity/Q23760,109
http://www.wikidata.org/entity/Q284636,109
http://www.wikidata.org/entity/Q311440,109
http://www.wikidata.org/entity/Q39837,109
http://www.wikidata.org/entity/Q42493,109
http://www.wikidata.org/entity/Q38203,109
http://www.wikidata.org/entity/Q40504,109
http://www.wikidata.org/entity/Q36359,109
http://www.wikidata.org/entity/Q43330,109
http://www.wikidata.org/entity/Q37060,109
http://www.wikidata.org/entity/Q41532,109
http://www.wikidata.org/entity/Q39524,109
http://www.wikidata.org/entity/Q37278,109
http://www.wikidata.org/entity/Q36233,109
http://www.wikidata.org/entity/Q47059,109
http://www.wikidata.org/entity/Q40787,109
http://www.wikidata.org/entity/Q80900,109
http://www.wikidata.org/entity/Q7721,109
http://www.wikidata.org/entity/Q9397,109
http://www.wikidata.org/entity/Q155979,108
http://www.wikidata.org/entity/Q15029,108
http://www.wikidata.org/entity/Q19943,108
http://www.wikidata.org/entity/Q15897,108
http://www.wikidata.org/entity/Q1151,108
http://www.wikidata.org/entity/Q12154,108
http://www.wikidata.org/entity/Q38257,108
http://www.wikidata.org/entity/Q37327,108
http://www.wikidata.org/entity/Q37621,108
http://www.wikidata.org/entity/Q38082,108
http://www.wikidata.org/entity/Q41594,108
http://www.wikidata.org/entity/Q41421,108
http://www.wikidata.org/entity/Q37160,108
http://www.wikidata.org/entity/Q48337,108
http://www.wikidata.org/entity/Q3318231,108
http://www.wikidata.org/entity/Q38823,108
http://www.wikidata.org/entity/Q43347,108
http://www.wikidata.org/entity/Q39607,108
http://www.wikidata.org/entity/Q72334,108
http://www.wikidata.org/entity/Q61053,108
http://www.wikidata.org/entity/Q6107,108
http://www.wikidata.org/entity/Q102124,107
http://www.wikidata.org/entity/Q21621995,107
http://www.wikidata.org/entity/Q19526,107
http://www.wikidata.org/entity/Q16975,107
http://www.wikidata.org/entity/Q1375057,107
http://www.wikidata.org/entity/Q10390,107
http://www.wikidata.org/entity/Q13133,107
http://www.wikidata.org/entity/Q2677,107
http://www.wikidata.org/entity/Q2643,107
http://www.wikidata.org/entity/Q238464,107
http://www.wikidata.org/entity/Q280856,107
http://www.wikidata.org/entity/Q2530,107
http://www.wikidata.org/entity/Q2448709,107
http://www.wikidata.org/entity/Q360,107
http://www.wikidata.org/entity/Q38392,107
http://www.wikidata.org/entity/Q41264,107
http://www.wikidata.org/entity/Q39212,107
http://www.wikidata.org/entity/Q38049,107
http://www.wikidata.org/entity/Q40874,107
http://www.wikidata.org/entity/Q40026,107
http://www.wikidata.org/entity/Q43718,107
http://www.wikidata.org/entity/Q44819,107
http://www.wikidata.org/entity/Q38757,107
http://www.wikidata.org/entity/Q7732,107
http://www.wikidata.org/entity/Q680,107
http://www.wikidata.org/entity/Q7439,107
http://www.wikidata.org/entity/Q19673,106
http://www.wikidata.org/entity/Q189490,106
http://www.wikidata.org/entity/Q234819,106
http://www.wikidata.org/entity/Q43203,106
http://www.wikidata.org/entity/Q501,106
http://www.wikidata.org/entity/Q38193,106
http://www.wikidata.org/entity/Q42775,106
http://www.wikidata.org/entity/Q34503,106
http://www.wikidata.org/entity/Q41408,106
http://www.wikidata.org/entity/Q41223,106
http://www.wikidata.org/entity/Q47285,106
http://www.wikidata.org/entity/Q38370,106
http://www.wikidata.org/entity/Q3772,106
http://www.wikidata.org/entity/Q3355,106
http://www.wikidata.org/entity/Q41921,106
http://www.wikidata.org/entity/Q40213,106
http://www.wikidata.org/entity/Q34448,106
http://www.wikidata.org/entity/Q6694,106
http://www.wikidata.org/entity/Q529207,106
http://www.wikidata.org/entity/Q60429,106
http://www.wikidata.org/entity/Q191045,105
http://www.wikidata.org/entity/Q1033016,105
http://www.wikidata.org/entity/Q171195,105
http://www.wikidata.org/entity/Q23114,105
http://www.wikidata.org/entity/Q301,105
http://www.wikidata.org/entity/Q25351,105
http://www.wikidata.org/entity/Q43416,105
http://www.wikidata.org/entity/Q43444,105
http://www.wikidata.org/entity/Q47674,105
http://www.wikidata.org/entity/Q42013,105
http://www.wikidata.org/entity/Q42869,105
http://www.wikidata.org/entity/Q3956186,105
http://www.wikidata.org/entity/Q37628,105
http://www.wikidata.org/entity/Q47737,105
http://www.wikidata.org/entity/Q36724,105
http://www.wikidata.org/entity/Q40912,105
http://www.wikidata.org/entity/Q36620,105
http://www.wikidata.org/entity/Q6383803,105
http://www.wikidata.org/entity/Q79759,105
http://www.wikidata.org/entity/Q76127,105
http://www.wikidata.org/entity/Q675,105
http://www.wikidata.org/entity/Q80966,105
http://www.wikidata.org/entity/Q10648,104
http://www.wikidata.org/entity/Q15975,104
http://www.wikidata.org/entity/Q16977,104
http://www.wikidata.org/entity/Q134958,104
http://www.wikidata.org/entity/Q10514,104
http://www.wikidata.org/entity/Q2124,104
http://www.wikidata.org/entity/Q2680,104
http://www.wikidata.org/entity/Q41269,104
http://www.wikidata.org/entity/Q41688,104
http://www.wikidata.org/entity/Q47619,104
http://www.wikidata.org/entity/Q37610,104
http://www.wikidata.org/entity/Q348144,104
http://www.wikidata.org/entity/Q41617,104
http://www.wikidata.org/entity/Q47243,104
http://www.wikidata.org/entity/Q43179,104
http://www.wikidata.org/entity/Q493,104
http://www.wikidata.org/entity/Q80871,104
http://www.wikidata.org/entity/Q180338,103
http://www.wikidata.org/entity/Q26517,103
http://www.wikidata.org/entity/Q320,103
http://www.wikidata.org/entity/Q32522,103
http://www.wikidata.org/entity/Q272201,103
http://www.wikidata.org/entity/Q25369,103
